,Vacancy,Salary,Salary_min,Salary_max,Employer,Location,Description,Url,Site
67,Аналитик Big Data (сфера IT),,NaN,NaN,ООО Волкрафт,Москва,"Предстоит заниматься проработкой клиентского пути, разрабатывать сценарии, писать и согласовывать требования, анализировать взаимодействие клиентов с ассистентом. Формирование бизнес и функциональных...Внимательность к деталям и умение находить причинно-следственные связи в данных. Понимание принципов сервис ориентированной ИТ-архитектуры. Опыт прототипирования (Figma...",https://spb.hh.ru/vacancy/46687684?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
68,Главный аналитик данных,,NaN,NaN,ООО Убиратор,Москва,Аналитик,https://spb.hh.ru/vacancy/46210197?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
69,Антифрод аналитик,,NaN,NaN, Альфа-Банк,Сбер для экспертов,"Помогать продуктовой команде генерировать гипотезы и приоритизировать планы их внедрения, оценивая потенциал. Проводить A/B-тесты, превращая результаты в рекомендации...Знаете Python, SQL. Знаете математическую статистику. Получили высшее математическое или техническое образование. Хорошо технически подготовлены, уверенно используете один из скриптовых...",https://spb.hh.ru/vacancy/46706804?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
70,Младший SQL аналитик,,NaN,NaN,МедиаНация,Москва,Бизнес-аналитик данных,https://spb.hh.ru/vacancy/46459870?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
71,Аналитик,,NaN,NaN,ООО Коннект Лайн,Москва,"...данными: Каталога Данных, Глоссария Данных, Каталога Отчетности. Проводить обучения использованию BI-инструментов, инструментов управления данными и грамотному использованию данных. ...Teradata, опыт участия в проектах внедрения корпоративных хранилищ данных или промышленных витрин данных, опыт разработки аналитических панелей в Tableau и...",https://spb.hh.ru/vacancy/46090859?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
72,Ведущий аналитик баз данных / Программист SQL,,NaN,NaN,Исследовательский холдинг Ромир,Яндекс,Младший программист-аналитик SQL,https://spb.hh.ru/vacancy/43856963?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
73,Младший системный аналитик/Junior systems analyst,,NaN,NaN,Департамент персонала,Санкт-Петербург,Обеспечение качества реализации коммуникаций и целевых продуктов. Изучение возможностей системы Campaign Management. Обеспечить своевременный запуск кампаний целевого маркетинга. Знания SQL. Техническое образование. Инициативность. Понимание построения баз данных.,https://spb.hh.ru/vacancy/45941130?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
74,Продуктовый аналитик (стажер),,NaN,NaN,Hoff,Санкт-Петербург,Аналитик Big Data (сфера IT),https://spb.hh.ru/vacancy/46281645?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
75,Управляющий эксперт по аналитике данных,100 000 – 200 000 руб.,100000,200000,ПАО Промсвязьбанк,Tele2,"Аналитикой приложения (поведение пользователей, анализ существующих проблем, выявление проблем у пользователей, аналитика отзывов). Аналитикой контента (создание критериев для оценки нового...Знание SQL (на уровне, достаточном для извлечения данных из множества похожих таблиц). Знание основ математической статистики и статистических методов (анализ...",https://spb.hh.ru/vacancy/46777460?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
76,Дата аналитик,,NaN,NaN,Билайн,"Москва, Румянцево",Главный аналитик данных,https://spb.hh.ru/vacancy/46368123?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
